iter	Passed	Remaining
0	131	131055
1	133	66843
2	135	45065
3	137	34153
4	140	27965
5	142	23587
6	143	20409
7	145	18037
8	146	16170
9	148	14670
10	149	13450
11	151	12449
12	153	11690
13	155	10941
14	156	10292
15	158	9720
16	159	9211
17	160	8760
18	161	8357
19	163	7992
20	164	7673
21	166	7405
22	168	7149
23	169	6893
24	170	6654
25	171	6426
26	172	6215
27	173	6022
28	174	5840
29	175	5672
30	176	5513
31	177	5360
32	178	5218
33	178	5083
34	179	4961
35	181	4871
36	182	4760
37	183	4647
38	184	4539
39	184	4436
40	185	4339
41	186	4251
42	187	4166
43	187	4084
44	188	4005
45	189	3931
46	190	3859
47	191	3792
48	191	3725
49	192	3661
50	193	3607
51	195	3565
52	196	3508
53	196	3450
54	197	3394
55	198	3340
56	198	3288
57	199	3238
58	199	3189
59	200	3142
60	201	3097
61	201	3053
62	202	3010
63	203	2972
64	203	2934
65	204	2895
66	205	2858
67	205	2821
68	206	2786
69	207	2751
70	208	2724
71	209	2697
72	210	2669
73	211	2641
74	211	2613
75	212	2586
76	213	2561
77	214	2535
78	215	2508
79	215	2481
80	216	2455
81	217	2431
82	217	2404
83	218	2379
84	218	2356
85	219	2333
86	220	2310
87	220	2288
88	221	2267
89	222	2246
90	223	2236
91	225	2222
92	225	2202
93	226	2183
94	227	2164
95	227	2145
96	228	2126
97	229	2108
98	229	2091
99	230	2074
100	231	2056
101	231	2040
102	232	2023
103	233	2007
104	233	1991
105	234	1976
106	234	1960
107	235	1946
108	236	1933
109	237	1924
110	238	1912
111	239	1901
112	240	1888
113	241	1875
114	242	1862
115	242	1850
116	243	1836
117	244	1824
118	244	1812
119	245	1800
120	246	1790
121	247	1778
122	247	1766
123	248	1756
124	249	1744
125	249	1733
126	250	1721
127	251	1711
128	252	1704
129	253	1696
130	254	1688
131	255	1681
132	256	1674
133	257	1665
134	258	1655
135	259	1645
136	259	1636
137	260	1626
138	261	1617
139	261	1608
140	262	1598
141	262	1587
142	263	1578
143	264	1569
144	264	1561
145	265	1553
146	266	1544
147	267	1538
148	268	1532
149	269	1525
150	270	1519
151	271	1512
152	271	1505
153	272	1498
154	273	1491
155	274	1485
156	276	1482
157	276	1475
158	277	1467
